,id,polarity,tweets
0,1467933112,0,the angel is going to miss the athlete this weekend 
1,2323395086,0,It looks as though Shaq is getting traded to Cleveland to play w/ LeBron... Too bad for Suns' fans. The Big Cactus is no more 
2,1467968979,0,@clarianne APRIL 9TH ISN'T COMING SOON ENOUGH 
3,1990283756,0,drinking a McDonalds coffee and not understanding why someone would hurt me for no apparent reason. 
4,1988884918,0,So dissapointed Taylor Swift doesnt have a Twitter 
5,1467984364,0,Wishes I was on the Spring Fling Tour with Dawn &amp; neecee Sigh G'knight
6,1964951623,0,got a sniffle
7,1881133744,0,i've only been in sydney for 3 hrs but I miss my friends especially @ktjade!!!
8,1753802024,0,xboxtweet not working again 
9,1980497384,0,R.I.P to lebron/kobe puppet commercials... 
10,1755405128,0,Allergies sucks sometimes. Theres a super adorable 9 month old beagle named Sydney hanging out with my roomie and his friend. Can't pet. 
11,1966205498,0,has a broken iphone 
12,2206224118,0,Line at McDonalds was too long so I can't get my sausage biscuit on 
13,1687790990,0,@stephnewby there is a virus going around congestion
14,1963812485,0,I scratched my iPod 
15,1467844505,0,I don't understand... I really don't 
16,2258491381,0,@Rove1974 @Pink is our hero too! Love her! Wanna go see her in Brisvegas again but sadly my bank balance wont let me 
17,1468039375,0,I hate the fact that I'm genuinely excited about my last tweet 
18,2212063772,0,Tula's sick! Nausious
19,1557163971,0,Hayfever time not good!
20,1975133437,0,I wish diversity was like one of those musicians with loads of stuff on YouTube
21,1932575931,0,Oh No - the Cavs lost game 4 Cavs are 1 loss away from triggering a nuclear event that would make the hadron look like tiddlywinks 
22,2324113552,0,worked on 5 bone marrow cases today! All + for cancer! 
23,1468042132,0,It was a sleepless night 
24,1467985185,0,@d_castillo ugh
25,1980282216,0,forgot about my english coursework &amp; my ipod is banjaxed; today is just not my day 
26,2179698078,0,@TweetRamona too bad it's in seattle.. 
27,1467985259,0,MY TWEETS ARENT GOING THROUGH 
28,2299794306,0,@SeattleRealEst8 439 calories; 28 grams of fat; 41.7 carbs... by by Mexi-Fry.
29,1695998263,0,@mglickman that reminds me of a bit howard stern did back in the day about oprah eating a lot. i wish i could find it on the net. 
30,2175909248,0,Is wondering why it's always warm when she leaves London in the morning &amp; freezing when she gets to Woking 
31,1467932979,0,@lolitariot oh no hope you're not getting sick too!
32,1468036579,0,@mykele sayyyy whaaaa? I wasn't invited... 
33,1467913111,0,#3 woke up and was having an accident - &quot;It's pushing
34,1980105719,0,@sweetbaboo1979 Have 2 -Angel is our old gal
35,1556068472,0,Hmm im usually dead rite now...ugh skool monday..no more oprah ellen or kathie lee and hoda i wish u went to skool for a millisecond!!
36,2252521888,0,I have had a 102. Fever all night. 
37,2063299796,0,Who invented hayfever? 
38,1989549312,0,Wishing the Cavs were in the NBA Finals...we just can't let it go 
39,1468031439,0,@endearingevania I sure wish I could go with you guys tmrw. But as per usual
40,2202091896,0,@AshleyLTMSYF hiya how r u? shame i missed u in Sydney. i was sick.i heard yall rocked!!! i missed the a/party 2 which i was invited to 
41,2200029856,0,#haveyouever wished microsoft never had to update xbox live? i'm so sad i can't play cod4 live. 
42,1467876133,0,has lost his ring. It's no-where to be seen 
43,2206892331,0,Trying to set up Xbox Live and failing tremendously...brain ache 
44,1882993898,0,@TerrenceJ106. U should have told her and that voice box gone b bad 2 if ur ass keep on smokin them cancer sticks lol
45,1759089904,0,awhh. going home from Vegas. :'( but im going back in June
46,2238285997,0,i really feel bad bout eating a cheeseburger and a donut for dinner ugh! i so need to burn this off tomorrow! :| darn McDonalds!!!!
47,1932332597,0,oh my gooooooodness!!!! the cavs down 3-1!! 
48,1982348564,0,I would have bet a hundred bucks it would b Cleveland &amp; LA in the finals. Thought it was Lebrons year 
49,2070393327,0,@Lowjacker twitter top trends pisses me off. Oprah and the other tv celebs totally ruined twitters vibe. 
50,2250870150,0,I haaattte hayfever. Piriton
51,1680198701,0,The people here in Argentina say Obama will be the next JFK.... it is very bad but is the sad truth....
